species	w	p-value
Stx2-converting phage 86	-0.513589580722	0.607538965742
Veillonella atypica	-1.26156903721	0.207103903478
Dickeya phage phiDP23.1	-0.7583201863	0.448259325545
Acinetobacter phage AB1	0.130982577634	0.89578908969
Enterobacteria phage phiP27	-5.68740139725	1.28987032931e-08
Stx1-converting phage phi-O153	1.2064184782	0.227656174765
Rhizobium phage RHEph10	0.689381987546	0.490582915561
Roseburia inulinivorans	-2.39560240672	0.0165930783489
Raoultella ornithinolytica	0.944453322938	0.344938043722
Streptococcus phage CHPC577	0.0	1.0
Klebsiella phage 5 LV-2017	-0.585974689414	0.557892523811
Erwinia phage PEp14	0.941006413	0.346701572783
Stx2-converting phage Stx2a_WGPS6	0.517036490659	0.605130686028
Dehalobacterium formicoaceticum	0.344690993773	0.730326689601
Enterobacteria phage P4	-2.9505549067	0.00317203659212
Yersinia virus R1RT	-0.348137903711	0.727736619643
Serratia phage X20	3.27456444084	0.00105824999713
Escherichia phage Murica	2.5851824533	0.00973274789744
Bacillus virus BCP82	5.17036490659	2.33637321809e-07
Prevotella intermedia	7.27297996861	3.516424833e-13
Salmonella phage RE-2010	3.50895431661	0.000449872169581
Mycobacterium phage Isiphiwo	-0.261965155267	0.793348306353
Staphylococcus virus Sextaec	-3.0884313042	0.00201216207783
Streptomyces phage Samisti12	4.13629192527	3.52963111891e-05
Clostridium phage phiCTC2A	0.248177515516	0.803997062263
Acinetobacter phage AM24	1.2064184782	0.227656174765
Bifidobacterium longum	-0.248177515516	0.803997062263
Thermobifida phage P1312	4.2845090526	1.83143152086e-05
Listeria phage A118	1.89580046575	0.0579864342767
Bacillus virus CP51	-2.20602236015	0.0273824341441
Streptococcus salivarius	-0.599762329165	0.548664642332
environmental Halophage eHP-9	-0.00689381987546	0.994499571124
Synechococcus phage S-RIM8	-3.0057054657	0.00264965515823
Paenibacillus phage PG1	0.344690993773	0.730326689601
Streptococcus virus 9874	-1.05130753101	0.293117369346
Bufavirus-1	3.49861358679	0.000467683835395
Mycobacterium phage Kratio	-0.916878043436	0.359206550708
Pasteurella phage F108	0.344690993773	0.730326689601
Sorghum mosaic virus	0.689381987546	0.490582915561
Enterobacteria phage VT2phi_272	0.751426366425	0.452396099739
Enterobacterial phage mEp213	0.517036490659	0.605130686028
Paramecium bursaria Chlorella virus OR0704.2.2	0.344690993773	0.730326689601
Enterococcus phage phiEF24C	0.689381987546	0.490582915561
Desulfovibrio fairfieldensis	6.54912888168	5.78736703959e-11
Streptococcus sanguinis	1.89580046575	0.0579864342767
Mycobacterium phage Yucca	0.861727484432	0.388837497515
Alistipes finegoldii	0.0275752795018	0.978000898266
Klebsiella phage 2 LV-2017	-1.60626003098	0.108216788339
Bacillus phage Evoli	4.43961999979	9.01178555616e-06
[Ruminococcus] torques	-2.3025358384	0.0213049727626
Cronobacter virus ESP29491	3.61925543461	0.000295451891264
Brachyspira pilosicoli	2.5851824533	0.00973274789744
Corynebacterium phage IME1320_01	2.06814596264	0.0386262997803
Bacillus phage vB_BpuM-BpSp	-0.944453322938	0.344938043722
Turnip mosaic virus	5.51505590037	3.48669116475e-08
Shigella phage SfII	-0.186133136637	0.852340356679
Megamonas hypermegale	-1.25467521733	0.209596685833
Caulobacter phage Ccr34	-0.779001645927	0.435978745187
Aeromonas phage 65.2	0.344690993773	0.730326689601
butyrate-producing bacterium SM4/1	1.95095102475	0.0510628720196
Rotavirus H	1.03407298132	0.301102046212
Vibrio virus VC8	3.96394642839	7.37208030506e-05
Adlercreutzia equolifaciens	-0.934112593124	0.350245816633
Escherichia virus If1	-5.35994495317	8.32473138758e-08
Bacteroides cellulosilyticus	-1.71656114899	0.0860593862139
Escherichia phage UFV-AREG1	2.5851824533	0.00973274789744
Enterobacteria phage CL707	-2.01299540363	0.044115112902
Salmonella phage 41	0.344690993773	0.730326689601
Phage 21	-0.875515124183	0.381293684657
Gordonia phage Howe	0.689381987546	0.490582915561
Vibrio phage vB_VorS-PVo5	3.51584813648	0.000438351641121
Cyanophage S-RIM12	1.09267045026	0.274538518401
Streptococcus phage IPP23	5.34271040348	9.15669900002e-08
Enterobacteria phage HK542	2.50245661479	0.012333474089
Arthrobacter phage Caterpillar	-2.98157709614	0.0028676783185
Bacillus phage BCJA1c	0.517036490659	0.605130686028
Klebsiella phage vB_KpnP_KpV763	0.861727484432	0.388837497515
Candidatus Sodalis pierantonius	0.344690993773	0.730326689601
Streptococcus phage 128	0.299881164582	0.764267801998
Mycobacterium phage Myrna	3.10221894396	0.00192075841046
Bacteroides dorei	1.35118869559	0.176634994832
Gordonia phage GMA2	4.74984189419	2.03575747112e-06
uncultured phage MedDCM-OCT-S08-C41	-0.430863742216	0.666567448352
Lactobacillus ruminis	1.55110947198	0.120875451651
Streptococcus phage DCC1738	1.2064184782	0.227656174765
Uncultured phage WW-nAnB strain 3	1.03407298132	0.301102046212
Lactococcus phage PLgT-1	0.344690993773	0.730326689601
African swine fever virus	4.48098291905	7.43000583339e-06
[Clostridium] clostridioforme	-4.22591158366	2.37975424241e-05
Heterocapsa circularisquama DNA virus 01	0.689381987546	0.490582915561
Pandoravirus salinus	5.51505590037	3.48669116475e-08
Glycine max	0.517036490659	0.605130686028
Yersinia phage L-413C	2.97123636632	0.00296603405539
Paramecium bursaria Chlorella virus CVR-1	1.72345496886	0.0848062817994
Ruminococcus bromii	-0.399841552777	0.68927322324
Salinivibrio phage CW02	3.27456444084	0.00105824999713
Lactobacillus fermentum	2.5851824533	0.00973274789744
Tannerella forsythia	0.517036490659	0.605130686028
Dioscorea rotundata	1.03407298132	0.301102046212
Camelpox virus	2.06814596264	0.0386262997803
Streptococcus phage phiD12	-1.01683843163	0.309230296262
Mycobacterium phage Legendre	7.583201863	3.3712969105e-14
Burkholderia virus Bcepmigl	0.448098291905	0.654082260732
[Clostridium] symbiosum	3.83985767063	0.000123105659207
Escherichia virus phiV10	-0.186133136637	0.852340356679
Clostridium phage phiSM101	3.61925543461	0.000295451891264
Enterobacteria phage mEpX1	1.72000805893	0.0854309766898
Salmonella phage 118970_sal3	1.33740105584	0.181091760001
Thermoproteus tenax virus 1	2.06814596264	0.0386262997803
Bacillus phage OTooleKemple52	2.92987344707	0.00339100075799
Shigella virus SfMu	1.70966732911	0.0873274074715
Pseudomonas phage PaBG	-0.22749605589	0.820038035788
Intestinimonas butyriciproducens	-1.62004767073	0.105222037051
Human alphaherpesvirus 1	-2.02678304338	0.0426846053317
Staphylococcus phage IME1318_01	1.55110947198	0.120875451651
Streptococcus phage IPP61	1.0961173602	0.273027418352
Trichoplusia ni ascovirus 2c	4.48098291905	7.43000583339e-06
Salmonella phage vB_SosS_Oslo	1.70277350924	0.0886104621629
Campylobacter phage vB_CjeM_Los1	3.05051529489	0.00228449044411
Lactobacillus amylovorus	0.689381987546	0.490582915561
El Huayo virus	-1.1788431987	0.238460619197
Bifidobacterium pseudocatenulatum	1.02028534157	0.307593153233
Akkermansia muciniphila	1.67519822974	0.0938953447873
Streptococcus phage phiARI0131-1	1.2064184782	0.227656174765
Anaerococcus mediterraneensis	2.06814596264	0.0386262997803
Lactobacillus virus c5	0.344690993773	0.730326689601
Bifidobacterium adolescentis	-0.992710062066	0.320851269974
Aeromonas virus Aeh1	3.7916009315	0.000149679294332
Corchorus capsularis	1.03407298132	0.301102046212
Volepox virus	0.517036490659	0.605130686028
Stx converting phage vB_EcoS_ST2-8624	2.47143442535	0.0134572229171
Klebsiella oxytoca	3.02638692533	0.00247495370849
Desulfarculus baarsii	1.72345496886	0.0848062817994
Mycobacterium phage SkinnyPete	-1.08577663038	0.277577828037
Pseudomonas phage YMC11/02/R656	2.24049145952	0.0250590346154
Enterobacteria phage WPhi	0.317115714271	0.751155801527
Lactococcus phage C41431	-1.73379569868	0.0829543391272
Enterobacteria phage fiAA91-ss	0.0	1.0
Streptococcus phage IPP63	0.689381987546	0.490582915561
Enterobacteria phage cdtI	-0.0448098291905	0.964258890403
Acanthamoeba polyphaga mimivirus	1.81996844712	0.0687638101088
Bacillus virus Bobb	0.517036490659	0.605130686028
Synechococcus phage S-RSM4	2.07503978251	0.0379828478851
uncultured phage	1.63038840055	0.103019434638
Acidianus spindle-shaped virus 1	3.27456444084	0.00105824999713
Escherichia virus JS09	-0.841046024806	0.400322151056
Enterobacteria phage HK630	1.72345496886	0.0848062817994
Clostridioides difficile	-0.213708416139	0.830774447835
Streptococcus virus Sfi21	-3.84675149051	0.000119694263568
Streptococcus lutetiensis	5.34271040348	9.15669900002e-08
unidentified virus	0.672147437857	0.501489839176
Tokyovirus A1	0.861727484432	0.388837497515
Streptococcus sp. VT 162	6.89381987546	5.43137899127e-12
Klebsiella phage vB_KpnP_BIS47	-2.46109369554	0.013851418745
Histophilus somni	0.517036490659	0.605130686028
Acinetobacter phage Ac42	0.299881164582	0.764267801998
Mycobacterium phage 32HC	1.89580046575	0.0579864342767
Oxbow orthohantavirus	1.2064184782	0.227656174765
Pseudomonas phage ZC01	-2.1474248912	0.0317594707849
Ostreococcus tauri virus OtV5	4.99801940971	5.7922156091e-07
[Clostridium] saccharolyticum	1.41323307447	0.157587204662
Bacteroides thetaiotaomicron	-1.64762295023	0.0994300679122
Riemerella anatipestifer	5.85974689414	4.63573187221e-09
Bacteroides phage B40-8	2.41283695641	0.0158288986116
Klebsiella virus F19	0.344690993773	0.730326689601
Bacillus virus SPbeta	0.344690993773	0.730326689601
Christensenella massiliensis	1.55110947198	0.120875451651
Escherichia virus P1	-1.02028534157	0.307593153233
Klebsiella phage 6 LV-2017	-2.70927121105	0.00674311938117
Citrobacter sp. 86	1.2064184782	0.227656174765
Streptococcus phage 53	2.24049145952	0.0250590346154
Torque teno sus virus 1b	3.14013495327	0.00168870022701
Streptococcus phage phi-m46.1	0.730744906798	0.46493498055
Caledonia beadlet anemone dicistro-like virus 2	3.61925543461	0.000295451891264
Bacillus virus Bc431	0.517036490659	0.605130686028
Parabacteroides sp. CT06	-0.282646614894	0.777447743179
Enterobacteria phage SfI	1.68898586949	0.0912221379173
Lactobacillus prophage Lj771	0.689381987546	0.490582915561
Human gammaherpesvirus 4	0.365372453399	0.714833400974
Klebsiella phage 3 LV-2017	3.7916009315	0.000149679294332
Virus Rctr71	4.65332841593	3.26619406078e-06
Ralstonia virus RSL1	-0.782448555864	0.433951007418
Human endogenous retrovirus K	3.10221894396	0.00192075841046
Streptococcus phage Str03	2.41283695641	0.0158288986116
Acanthocystis turfacea Chlorella virus Canal-1	0.37916009315	0.704568983955
Kluyvera intermedia	0.534271040348	0.593154025234
Enterobacter phage Tyrion	1.37531706515	0.169033168153
Staphylococcus virus 77	1.2064184782	0.227656174765
Streptococcus phage IPP62	1.72345496886	0.0848062817994
Stenotrophomonas phage vB_SmaS-DLP_6	-2.92987344707	0.00339100075799
Escherichia phage MSU52-L1	-0.186133136637	0.852340356679
Aeromonas phage phiAS5	0.203367686326	0.838847654619
Kurlavirus BKC-1	2.41283695641	0.0158288986116
Pyramidobacter piscolens	-0.130982577634	0.89578908969
butyrate-producing bacterium L2-50	1.2064184782	0.227656174765
Cyanophage Syn30	0.517036490659	0.605130686028
Escherichia phage JLK-2012	-2.62654537255	0.0086256491994
Ruminococcus bicirculans	-3.4538037576	0.000552739433222
Shigella flexneri	2.01299540363	0.044115112902
Porphyromonas gingivalis	1.71656114899	0.0860593862139
Klebsiella phage PMBT1	2.24049145952	0.0250590346154
Clostridium phage phiCP34O	0.996156972004	0.319173882024
Escherichia virus 172-1	0.689381987546	0.490582915561
Paramecium bursaria Chlorella virus AP110A	0.861727484432	0.388837497515
Streptococcus phage CHPC1151	7.92789285678	2.22895484623e-15
Corynebacterium riegelii	0.344690993773	0.730326689601
Streptococcus phage IPP51	0.861727484432	0.388837497515
Coprococcus sp. ART55/1	-1.34429487571	0.178853051956
Gordonia phage Twister6	1.882012826	0.0598342742031
Streptomyces phage Spectropatronm	0.344690993773	0.730326689601
Mycobacterium phage Alsfro	1.68209204961	0.0925509918166
Lausannevirus	0.344690993773	0.730326689601
Klebsiella virus Sushi	1.34429487571	0.178853051956
Mycobacterium phage Cain	5.51505590037	3.48669116475e-08
Streptococcus phage SpSL1	2.5851824533	0.00973274789744
Enterobacteria phage mEp043 c-1	0.213708416139	0.830774447835
Pectobacterium phage PPWS1	0.861727484432	0.388837497515
Edwardsiella phage GF-2	-4.69813824512	2.6254370732e-06
Pseudomonas phage H70	2.5851824533	0.00973274789744
Streptococcus phage phiJH1301-3	0.689381987546	0.490582915561
Morganella phage IME1369_01	0.765214006176	0.444144120746
Streptococcus phage IPP65	1.2064184782	0.227656174765
Vibrio phage phi-A318	0.517036490659	0.605130686028
Parabacteroides distasonis	0.703169627297	0.4819500449
Escherichia coli O157 typing phage 4	0.861727484432	0.388837497515
Synechococcus phage S-PM2	2.26806673903	0.0233251392486
Bacillus phage Anthony	1.03407298132	0.301102046212
Paenibacillus phage Xenia	0.489461211157	0.624515209464
Burkholderia virus phi6442	-2.47143442535	0.0134572229171
Vaccinia virus	-1.1788431987	0.238460619197
[Eubacterium] hallii	8.10023835366	5.48516126296e-16
Pectobacterium phage PP90	0.861727484432	0.388837497515
Bacillus phage Moonbeam	-1.25467521733	0.209596685833
Acanthocystis turfacea Chlorella virus OR0704.3	3.7916009315	0.000149679294332
Lachnoclostridium sp. YL32	0.420523012403	0.674103421859
Cyanophage S-RIM32	2.5851824533	0.00973274789744
Wolbachia phage sr1WOdamA	2.14397798127	0.0320346510915
Gordonibacter massiliensis	2.75752795018	0.00582402340778
Salmonella phage SPN9CC	-0.348137903711	0.727736619643
Human endogenous retrovirus H	6.03209239102	1.61850193413e-09
Propionibacterium virus ATCC29399BT	0.861727484432	0.388837497515
Mythimna separata entomopoxvirus	5.51505590037	3.48669116475e-08
Salmonella virus BTP1	0.327456444084	0.743322681164
Organic Lake phycodnavirus 2	1.2064184782	0.227656174765
Bacteroides salanitronis	0.820364565179	0.412008309575
Campylobacter virus CPt10	6.54912888168	5.78736703959e-11
Salmonella phage SJ46	0.186133136637	0.852340356679
Amsacta moorei entomopoxvirus	1.1788431987	0.238460619197
Streptococcus suis	-1.64072913036	0.100853655185
Prochlorococcus phage P-SSM2	1.20297156827	0.228987323102
Freshwater phage uvFW-CGR-AMD-COM-C455	1.03407298132	0.301102046212
Klebsiella sp. KPN1705	2.5851824533	0.00973274789744
Shigella sonnei	-0.461885931656	0.644163123192
Lactococcus phage 63301	0.344690993773	0.730326689601
Streptococcus phage SM1	-0.692828897483	0.488416934982
Enterobacteria phage mEpX2	4.85324919232	1.21454918312e-06
Streptococcus phage IPP15	-2.48177515516	0.0130729736008
Lactobacillus gasseri	3.27456444084	0.00105824999713
Gordonia phage Cucurbita	6.63874854007	3.16357560022e-11
Invertebrate iridovirus 25	5.17036490659	2.33637321809e-07
Streptococcus phage IPP50	2.41283695641	0.0158288986116
Enterobacter sp. E20	0.344690993773	0.730326689601
Salmonella virus 118970sal2	-1.48217127322	0.138294728145
Streptococcus phage CHPC926	-0.872068214245	0.383171165215
Caulobacter virus Swift	4.07080063646	4.6851833549e-05
Xanthomonas phage Xp15	0.344690993773	0.730326689601
Acanthamoeba castellanii mimivirus	1.05475444094	0.291537646004
Only Syngen Nebraska virus 5	2.41283695641	0.0158288986116
Escherichia coli	0.668700527919	0.5036865307
Bacillus phage phi3T	3.11600658371	0.00183318179615
Vibrio phage phi 3	2.75752795018	0.00582402340778
Gemella morbillorum	3.27456444084	0.00105824999713
Mycobacterium phage Minerva	3.27456444084	0.00105824999713
Enterobacteria phage HK106	-5.68050757738	1.34295602025e-08
Bacteroides stercoris	0.958240962689	0.337941265963
Synechococcus phage S-WAM2	-5.10142670784	3.37102565337e-07
Enterococcus phage phiFL4A	0.344690993773	0.730326689601
Salmonella phage SEN1	-3.62614925449	0.000287679117104
Corynebacterium phage LGCM-V9	0.172345496886	0.863165918093
Streptococcus phage IPP58	2.41283695641	0.0158288986116
Tomato yellow leaf curl virus	0.861727484432	0.388837497515
Homo sapiens	2.65412065205	0.00795153900133
Stx2-converting phage Stx2a_WGPS4	0.90998422356	0.36283082996
Salmonella virus Epsilon15	-2.68858975143	0.00717545434834
Klebsiella virus KLPN1	0.517036490659	0.605130686028
Pseudomonas phage AAT-1	1.2064184782	0.227656174765
Streptococcus phage phi30c	-0.675594347795	0.49929823112
Lactobacillus prophage Lj965	2.24049145952	0.0250590346154
Clostridium phage phiCT453B	0.517036490659	0.605130686028
Aeromonas phage phiA8-29	-4.81878009294	1.44438646817e-06
Pseudomonas phage ZC08	-3.06430293464	0.00218177861221
Methanobrevibacter smithii	1.71656114899	0.0860593862139
Ralstonia phage RSS30	1.89580046575	0.0579864342767
Clostridium perfringens	-1.05475444094	0.291537646004
Pasteurella multocida	-0.365372453399	0.714833400974
Mycobacterium phage PegLeg	-0.144770217385	0.884892297546
Klebsiella virus K244	0.344690993773	0.730326689601
Human endogenous retrovirus	3.61925543461	0.000295451891264
Mycobacterium phage GardenSalsa	1.03407298132	0.301102046212
Synechococcus phage ACG-2014f	0.861727484432	0.388837497515
Klebsiella variicola	5.85974689414	4.63573187221e-09
Treponema succinifaciens	-0.868621304308	0.385054297852
Salmonella virus HB2014	1.2064184782	0.227656174765
Vibrio phage Vp670	0.344690993773	0.730326689601
[Haemophilus] ducreyi	1.72345496886	0.0848062817994
Moraxella phage Mcat6	2.64722683218	0.0081154896657
Citrobacter farmeri	1.37876397509	0.167967537322
Streptococcus phage phiARI0468-4	0.00344690993773	0.997249769224
Cronobacter virus CR9	1.03407298132	0.301102046212
Vibrio phage pVp-1	0.423969922341	0.671587748863
Orf virus	1.03407298132	0.301102046212
Streptococcus phage phiJH1301-2	-1.37187015522	0.170103862695
Megasphaera elsdenii	-0.0206814596264	0.983499758932
Salmonella phage 118970_sal1	4.65332841593	3.26619406078e-06
Gordonibacter pamelaeae	1.87511900612	0.0607763533808
Cellulophaga phage Mariner	-4.01909698739	5.84216200799e-05
Bacillus virus PBS1	2.14397798127	0.0320346510915
Enterobacter phage Enc34	1.37876397509	0.167967537322
Morganella phage IME1369_02	-2.77131558993	0.0055830286468
Corynebacterium phage P1201	1.55110947198	0.120875451651
Mesorhizobium phage vB_MloP_Lo5R7ANS	0.689381987546	0.490582915561
Bifidobacterium phage Bbif-1	-1.24088757758	0.214647282415
Klebsiella phage 4 LV-2017	0.165451677011	0.868588481719
Bacteroides vulgatus	-0.330903354022	0.74071748842
Klebsiella virus Kp1	1.03407298132	0.301102046212
Emiliania huxleyi virus 163	-0.361925543461	0.717407671183
Neisseria elongata	2.06814596264	0.0386262997803
Escherichia phage YUEEL01	-0.841046024806	0.400322151056
Faustovirus	-4.77741717369	1.77561150191e-06
Brevibacillus phage Sundance	4.82567391282	1.39530645058e-06
Lactococcus phage 98204	0.517036490659	0.605130686028
Desulfovibrio piger	0.0	1.0
Enterobacter cloacae complex	-1.76137097818	0.0781756337848
Salmonella phage Si3	2.5851824533	0.00973274789744
Acanthocystis turfacea Chlorella virus MN0810.1	-0.816917655242	0.413975487539
Stx2-converting phage Stx2a_1447	0.517036490659	0.605130686028
[Ruminococcus] gnavus	6.03209239102	1.61850193413e-09
Non-A	-0.00344690993773	0.997249769224
Proteus phage vB_PmiS-TH	0.806576925428	0.419910272198
Bacillus phage vB_BsuM-Goe2	-0.427416832278	0.669075749549
Equid alphaherpesvirus 1	0.679041257733	0.497111720747
Escherichia phage D6	1.13748027945	0.255337563996
Megavirus chiliensis	-0.972028602439	0.331036319379
Cafeteria roenbergensis virus	2.10606197195	0.0351989695565
Synechococcus phage S-CAM7	3.04706838495	0.00231085130454
Veillonella rodentium	1.16850246889	0.242604143957
Aeromonas phage PX29	1.72345496886	0.0848062817994
Blautia hansenii	4.10871664577	3.97863867835e-05
Klebsiella phage 2b LV-2017	-1.44080835397	0.149638832699
Cafeteriavirus-dependent mavirus	1.2064184782	0.227656174765
Lactobacillus salivarius	4.36378798116	1.2782947208e-05
Staphylococcus phage IME1323_01	2.24049145952	0.0250590346154
EBPR podovirus 3	-0.820364565179	0.412008309575
Bacteroides fragilis	0.544611770161	0.586020557876
Stx2-converting phage Stx2a_WGPS2	-0.272305885081	0.785386831506
Desulfovibrio alaskensis	1.72345496886	0.0848062817994
Enterobacteria phage HK225	-2.59897009305	0.00935039192452
Bacteroides caccae	1.5442156521	0.122536098255
Acidaminococcus intestini	2.17844708064	0.0293727679941
Micromonas pusilla virus 12T	-5.03248850908	4.84153635283e-07
environmental Halophage eHP-13	7.92789285678	2.22895484623e-15
Synechococcus phage S-H35	-2.57139481355	0.0101289779727
Arthrobacter phage Wheelbite	-0.148217127322	0.882171415459
Synechococcus phage S-CAM1	5.3082413041	1.10688042712e-07
Enterobacteria phage P-EibD	0.344690993773	0.730326689601
Microviridae phi-CA82	1.2064184782	0.227656174765
Apis mellifera filamentous virus	-0.168898586949	0.865876410682
Virus Rctr197k	-1.66830440986	0.0952553129691
Streptococcus dysgalactiae group	-2.6127577328	0.00898149438115
Klosneuvirus KNV1	-1.79239316762	0.0730700084789
Staphylococcus phage 812	0.172345496886	0.863165918093
Paramecium bursaria Chlorella virus AN69C	3.10221894396	0.00192075841046
Enterobacteria phage Nil3	5.17036490659	2.33637321809e-07
Hokovirus HKV1	-1.56489711173	0.117607036039
Escherichia virus 4MG	1.4890650931	0.136470228678
Klebsiella phage 48ST307	0.71351035711	0.475530006473
Moumouvirus	7.23851086923	4.53637860356e-13
Burkholderia virus BcepC6B	0.344690993773	0.730326689601
Escherichia coli O157 typing phage 10	2.0922743322	0.0364139824448
Bifidobacterium breve	7.583201863	3.3712969105e-14
Ectocarpus siliculosus virus 1	2.75752795018	0.00582402340778
Streptococcus oralis	7.75554735989	8.79632424254e-15
Escherichia virus P2	-0.892749673872	0.371991242457
Rhodococcus virus Pepy6	3.98118097808	6.85737118637e-05
Vibrio phage 11895-B1	0.517036490659	0.605130686028
Enterobacteria phage mEp235	2.78510322968	0.00535106842508
Uncultured phage WW-nAnB strain 2	-0.83415220493	0.404195220218
Rothia sp. T40-1	1.4339145341	0.151596653734
Rubella virus	-0.206814596264	0.836154656422
Human picobirnavirus	0.344690993773	0.730326689601
Erwinia phage vB_EamM_Asesino	-0.86517439437	0.386943077145
Trichoderma hypovirus	-3.75713183212	0.00017187196302
Acanthocystis turfacea Chlorella virus NE-JV-3	1.72345496886	0.0848062817994
Klebsiella virus KP36	2.41973077629	0.0155320016981
Escherichia coli phage EH297	6.3767833848	1.80845961324e-10
Mycobacterium phage Lukilu	1.22020611796	0.222386748223
Anaerococcus prevotii	1.72345496886	0.0848062817994
Cyanophage S-RIM50	-1.96129175457	0.0498449985956
Murid betaherpesvirus 1	1.83030917693	0.0672037199089
Morganella morganii	0.517036490659	0.605130686028
Wolbachia phage WO	3.27456444084	0.00105824999713
Stenotrophomonas phage IME-SM1	2.36458021728	0.0180505178005
Lumpy skin disease virus	0.689381987546	0.490582915561
Human immunodeficiency virus 1	-0.751426366425	0.452396099739
Escherichia virus K1-5	0.517036490659	0.605130686028
Alistipes shahii	-0.00689381987546	0.994499571124
uncultured Mediterranean phage uvMED	1.01339152169	0.310873187457
Lambdoid phage HB-4	6.03209239102	1.61850193413e-09
Roseburia hominis	-0.206814596264	0.836154656422
Coprococcus catus	0.317115714271	0.751155801527
Mycobacterium phage Loser	1.2064184782	0.227656174765
Bacillus virus BCP78	0.37916009315	0.704568983955
Erythrobacter phage vB_EliS_R6L	-1.06509517076	0.286832864426
[Eubacterium] eligens	-2.86782906819	0.00413298757582
Actinophage RP3	-0.599762329165	0.548664642332
Staphylococcus phage qdsa001	-0.947900232875	0.343180246393
Klebsiella phage vB_Kpn_IME260	-0.392947732901	0.694358085603
Prevotella scopos	-3.64683071412	0.000265494709271
Spodoptera frugiperda multiple nucleopolyhedrovirus	6.3767833848	1.80845961324e-10
Salmonella virus STML131	1.61660076079	0.10596448759
Sulfolobus islandicus rod-shaped virus 2	0.86517439437	0.386943077145
Klebsiella virus 1513	1.21331229808	0.225010442762
Enterobacteria phage CUS-3	1.5166403726	0.129357506383
Lactobacillus mucosae	5.34271040348	9.15669900002e-08
Pseudomonas phage DVM-2008	1.80618080737	0.0708901018214
Bifidobacterium kashiwanohense	0.68248816767	0.494930322118
Ralstonia phage RS-PI-1	-1.23054684777	0.218492395174
uncultured crAssphage	-0.720404176985	0.471276178982
Canarypox virus	2.4852220651	0.0129470642801
Pseudomonas phage PhiPA3	-0.199920776388	0.841542541242
Bacillus virus 250	1.03407298132	0.301102046212
Cronobacter virus CR8	0.685935077608	0.492754049138
Enterobacterial phage mEp390	-0.0723851086923	0.942295435248
Streptococcus phage IPP16	7.75554735989	8.79632424254e-15
Streptomyces phage Lorelei	-0.117194937883	0.906705578262
Synechococcus phage S-SSM5	-1.81996844712	0.0687638101088
Erwinia phage vB_EamM_Joad	0.689381987546	0.490582915561
Pandoravirus inopinatum	0.572187049663	0.567195260054
butyrate-producing bacterium SS3/4	-1.57868475148	0.114408384109
Prevotella fusca	1.2064184782	0.227656174765
Petrimonas mucosa	-2.88161670794	0.00395640685017
Norwalk virus	-0.261965155267	0.793348306353
Ruminococcus sp. SR1/5	0.537717950286	0.590771784798
Human metapneumovirus	-0.355031723586	0.722565825352
