genus	w	p-value
Bxz1virus	1.22020611796	0.222386748223
Myroides	5.05316996871	4.34536868892e-07
Riemerella	5.85974689414	4.63573187221e-09
Orthopoxvirus	-1.45459599372	0.145781140782
Orthohantavirus	1.2064184782	0.227656174765
Lymphocryptovirus	0.365372453399	0.714833400974
Felixo1virus	2.92987344707	0.00339100075799
Proteiniphilum	0.0	1.0
T7virus	0.162004767073	0.871302099882
Desulfomicrobium	2.75752795018	0.00582402340778
Oryza	2.41283695641	0.0158288986116
Phicbkvirus	1.26846285708	0.204632706839
Muvirus	1.03062607138	0.302716205195
Clostridioides	-0.213708416139	0.830774447835
Streptococcus	0.820364565179	0.412008309575
C5virus	0.344690993773	0.730326689601
Vi1virus	1.61660076079	0.10596448759
Hepacivirus	3.27456444084	0.00105824999713
Inovirus	-1.35118869559	0.176634994832
Sk1virus	0.517036490659	0.605130686028
Erwinia	0.172345496886	0.863165918093
Romboutsia	-1.41323307447	0.157587204662
Anaerococcus	2.75752795018	0.00582402340778
Asfivirus	4.48098291905	7.43000583339e-06
Turicibacter	0.0241283695641	0.980750214267
Rothia	1.30982577634	0.190254781053
Megasphaera	-0.0206814596264	0.983499758932
Phaeovirus	2.75752795018	0.00582402340778
Rudivirus	0.86517439437	0.386943077145
Actinomyces	0.0	1.0
Lentivirus	-0.193026956513	0.84693785683
Norovirus	-0.261965155267	0.793348306353
Saccharomyces	1.23054684777	0.218492395174
Mageeibacillus	5.37717950286	7.56617316099e-08
Erysipelatoclostridium	0.0	1.0
Orbivirus	2.28185437878	0.0224979390474
Js98virus	2.24049145952	0.0250590346154
Prevotella	-0.479120481344	0.631852919965
Ascovirus	4.48098291905	7.43000583339e-06
Kosakonia	-2.81267850919	0.00491307448454
Omegavirus	7.583201863	3.3712969105e-14
Chivirus	4.65332841593	3.26619406078e-06
Kluyvera	0.872068214245	0.383171165215
Histophilus	0.517036490659	0.605130686028
Plutella	1.2064184782	0.227656174765
Metapneumovirus	-0.355031723586	0.722565825352
Pagevirus	1.37876397509	0.167967537322
P1virus	-0.689381987546	0.490582915561
Secunda5virus	5.51505590037	3.48669116475e-08
Sodalis	0.344690993773	0.730326689601
Eiauvirus	0.344690993773	0.730326689601
Catovirus	6.50776596243	7.62766285717e-11
Bilophila	7.583201863	3.3712969105e-14
Brachyspira	2.5851824533	0.00973274789744
Campylobacter	3.85709222032	0.000114743880135
Parabacteroides	-0.0344690993773	0.972503082824
Escherichia	0.53082413041	0.595540656804
Triticum	2.3301111179	0.0198002789672
Msw3virus	2.24049145952	0.0250590346154
Potyvirus	4.98078486002	6.3326910704e-07
Onchocerca	4.13629192527	3.52963111891e-05
Indivirus	0.241283695641	0.809335246642
Ruminococcus	0.124088757758	0.90124499937
Phifelvirus	0.651465978231	0.514745732074
Linum	1.2064184782	0.227656174765
Pantoea	0.517036490659	0.605130686028
Haemophilus	-1.24088757758	0.214647282415
Libanicoccus	2.1474248912	0.0317594707849
Bracovirus	-2.36802712722	0.0178832246228
Capripoxvirus	0.689381987546	0.490582915561
Intestinimonas	-1.62004767073	0.105222037051
Kp32virus	0.0310221894396	0.975251843574
Schizot4virus	0.779001645927	0.435978745187
Phix174microvirus	-1.30982577634	0.190254781053
Cr3virus	-0.162004767073	0.871302099882
P22virus	0.782448555864	0.433951007418
Twortvirus	1.2064184782	0.227656174765
Circovirus	1.37876397509	0.167967537322
Molluscipoxvirus	-0.517036490659	0.605130686028
Raoultella	1.92337574525	0.0544328781522
Pa6virus	1.30982577634	0.190254781053
Treponema	-0.868621304308	0.385054297852
Tg1virus	-0.348137903711	0.727736619643
Sitophilus	0.344690993773	0.730326689601
Collinsella	0.172345496886	0.863165918093
Lachnoclostridium	-0.137876397509	0.890338104292
Blastocystis	1.72345496886	0.0848062817994
Tannerella	0.517036490659	0.605130686028
E125virus	-2.47143442535	0.0134572229171
Rotavirus	-0.0620443788791	0.95052749082
Whispovirus	4.30863742216	1.64263399898e-05
Alphapapillomavirus	3.44690993773	0.000567037576271
Cyprinivirus	0.541164860223	0.588393955669
Sfi21dt1virus	-3.84675149051	0.000119694263568
Corynebacterium	0.344690993773	0.730326689601
Enterobacter	-0.858280574494	0.390737553236
Betabaculovirus	3.26077680109	0.00111107462169
Simplexvirus	-2.17155326077	0.0298893756924
Polerovirus	2.24049145952	0.0250590346154
Xipapillomavirus	0.861727484432	0.388837497515
Proteus	0.172345496886	0.863165918093
Mammarenavirus	5.34271040348	9.15669900002e-08
Butyrivibrio	0.861727484432	0.388837497515
Salmonella	-0.923771863311	0.355605107434
L5virus	1.826862267	0.0677204808518
Bpp1virus	0.344690993773	0.730326689601
Sextaecvirus	-3.93981805882	8.15434278101e-05
Orthobunyavirus	-1.1788431987	0.238460619197
Jimmervirus	4.30863742216	1.64263399898e-05
Phietavirus	1.03407298132	0.301102046212
Avipoxvirus	2.4852220651	0.0129470642801
Morganella	0.517036490659	0.605130686028
Syntrophus	0.0	1.0
Serratia	0.0	1.0
Citrobacter	1.96818557444	0.0490466894521
Biseptimavirus	1.2064184782	0.227656174765
T5virus	-1.04786062107	0.29470282761
genus	0.0	1.0
Cp51virus	-2.01299540363	0.044115112902
Acinetobacter	0.0	1.0
Cecivirus	1.03407298132	0.301102046212
Alphatristromavirus	2.06814596264	0.0386262997803
Gordonibacter	2.53003189429	0.0114052158593
Spn3virus	5.85974689414	4.63573187221e-09
Orthotospovirus	1.2064184782	0.227656174765
Kp36virus	2.55760717379	0.0105395075361
Se1virus	1.4890650931	0.136470228678
Alphavirus	0.782448555864	0.433951007418
Adlercreutzia	-0.934112593124	0.350245816633
Sp6virus	0.517036490659	0.605130686028
Cba41virus	4.86358992213	1.15275618458e-06
Orthohepadnavirus	0.872068214245	0.383171165215
Iotatorquevirus	3.14013495327	0.00168870022701
Ab18virus	-3.1608164129	0.00157327625067
Phoenicibacter	3.28145826072	0.00103271807912
Bocaparvovirus	1.2064184782	0.227656174765
Olsenella	1.58213166142	0.113619517078
Fusobacterium	4.54302729793	5.54520674007e-06
Cloacibacillus	1.8544375465	0.0636765873602
N15virus	0.517036490659	0.605130686028
Rb69virus	-0.841046024806	0.400322151056
Enterococcus	-6.56291652144	5.27653907971e-11
Lineavirus	2.5851824533	0.00973274789744
Ornithobacterium	-6.80420021708	1.01612141217e-11
Iridovirus	5.17036490659	2.33637321809e-07
Vp5virus	3.96394642839	7.37208030506e-05
Carnegiea	4.13629192527	3.52963111891e-05
P2virus	-1.29603813659	0.194962346349
Methanobrevibacter	1.71656114899	0.0860593862139
